GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IP,default,Main,15,0,0,0,5,0,2,0,2,0
IP,controller,MoveController,91,0,10,0,22,0,7,0,2,0
IP,controller,ResetController,63,0,0,0,14,0,3,0,3,0
IP,entities,Model,297,0,31,0,62,0,28,0,8,0
IP,entities,Board,6,988,23,97,3,104,23,57,0,11
IP,entities,Direction,0,44,0,0,0,2,0,1,0,1
IP,entities,Space,0,84,0,0,0,2,0,1,0,1
IP,boundaries,Window.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
IP,boundaries,Window.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
IP,boundaries,ControlPanel,252,0,0,0,43,0,1,0,1,0
IP,boundaries,Window.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
IP,boundaries,Window.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
IP,boundaries,GamePanel,311,0,23,0,58,0,19,0,4,0
IP,boundaries,Window.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
IP,boundaries,Window.new ActionListener() {...},16,0,0,0,3,0,2,0,2,0
IP,boundaries,Window.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
IP,boundaries,Window.new ActionListener() {...},17,0,0,0,3,0,2,0,2,0
IP,boundaries,Window,375,0,14,0,77,0,11,0,4,0
